@relation observations_30.arff

@attribute THROWS numeric
@attribute DEREFERNCES numeric
@attribute NEW numeric
@attribute STATEMENTS numeric
@attribute INVOCATIONS numeric
@attribute GOTO numeric
@attribute LOCALS numeric
@attribute EQUAL numeric
@attribute IF numeric
@attribute FIELDS_WRITTEN numeric
@attribute FIELDS numeric
@attribute ASSIGNMENTS numeric
@attribute class {hot,cold}

@data
0,23,0,77,14,17,142,2,14,4,22,52,cold
0,22,0,75,13,18,136,3,16,3,21,50,cold
0,22,0,74,12,18,135,3,16,3,21,50,cold
0,21,0,72,12,17,132,2,15,3,20,49,cold
0,15,0,55,11,11,102,2,9,2,14,39,cold
0,22,0,70,13,14,130,2,11,4,21,48,cold
0,21,0,68,12,15,124,3,13,3,20,46,cold
0,21,0,67,11,15,123,3,13,3,20,46,cold
0,20,0,65,11,14,120,2,12,3,19,45,cold
0,16,0,63,12,14,119,2,12,2,15,44,cold
0,23,0,78,14,17,147,2,14,4,22,53,cold
0,22,0,76,13,18,141,3,16,3,21,51,cold
0,22,0,75,12,18,140,3,16,3,21,51,cold
0,21,0,73,12,17,137,2,15,3,20,50,cold
0,16,0,62,12,14,116,2,12,2,15,43,cold
0,23,0,77,14,17,144,2,14,4,22,52,cold
0,22,0,75,13,18,138,3,16,3,21,50,cold
0,22,0,74,12,18,137,3,16,3,21,50,cold
0,21,0,72,12,17,134,2,15,3,20,49,cold
0,15,0,54,11,11,99,2,9,2,14,38,cold
0,22,0,69,13,14,127,2,11,4,21,47,cold
0,21,0,67,12,15,121,3,13,3,20,45,cold
0,21,0,66,11,15,120,3,13,3,20,45,cold
0,20,0,64,11,14,117,2,12,3,19,44,cold
0,16,0,62,12,14,116,2,12,2,15,43,cold
0,23,0,77,14,17,144,2,14,4,22,52,cold
0,22,0,75,13,18,138,3,16,3,21,50,cold
0,22,0,74,12,18,137,3,16,3,21,50,cold
0,21,0,72,12,17,134,2,15,3,20,49,cold
0,16,0,61,12,14,113,2,12,2,15,42,cold
0,23,0,76,14,17,141,2,14,4,22,51,cold
0,22,0,74,13,18,135,3,16,3,21,49,cold
0,22,0,73,12,18,134,3,16,3,21,49,cold
0,21,0,71,12,17,131,2,15,3,20,48,cold
0,21,0,60,12,10,109,2,7,4,20,42,cold
0,20,0,58,11,11,103,3,9,3,19,40,cold
0,20,0,57,10,11,102,3,9,3,19,40,cold
0,19,0,55,10,10,99,2,8,3,18,39,cold
0,8,0,27,7,4,42,1,3,1,7,18,hot
0,14,0,41,10,5,76,2,4,2,13,31,cold
0,15,0,52,11,9,98,2,8,2,14,38,cold
0,22,0,67,13,12,126,2,10,4,21,47,cold
0,21,0,65,12,13,120,3,12,3,20,45,cold
0,21,0,64,11,13,119,3,12,3,20,45,cold
0,20,0,62,11,12,116,2,11,3,19,44,cold
0,16,0,60,12,12,115,2,11,2,15,43,cold
0,23,0,75,14,15,143,2,13,4,22,52,cold
0,22,0,73,13,16,137,3,15,3,21,50,cold
0,22,0,72,12,16,136,3,15,3,21,50,cold
0,21,0,70,12,15,133,2,14,3,20,49,cold
0,16,0,59,12,12,112,2,11,2,15,42,cold
0,23,0,74,14,15,140,2,13,4,22,51,cold
0,22,0,72,13,16,134,3,15,3,21,49,cold
0,22,0,71,12,16,133,3,15,3,21,49,cold
0,21,0,69,12,15,130,2,14,3,20,48,cold
0,15,0,51,11,9,95,2,8,2,14,37,cold
0,22,0,66,13,12,123,2,10,4,21,46,cold
0,21,0,64,12,13,117,3,12,3,20,44,cold
0,21,0,63,11,13,116,3,12,3,20,44,cold
0,20,0,61,11,12,113,2,11,3,19,43,cold
0,16,0,59,12,12,112,2,11,2,15,42,cold
0,23,0,74,14,15,140,2,13,4,22,51,cold
0,22,0,72,13,16,134,3,15,3,21,49,cold
0,22,0,71,12,16,133,3,15,3,21,49,cold
0,21,0,69,12,15,130,2,14,3,20,48,cold
0,16,0,58,12,12,109,2,11,2,15,41,cold
0,23,0,73,14,15,137,2,13,4,22,50,cold
0,22,0,71,13,16,131,3,15,3,21,48,cold
0,22,0,70,12,16,130,3,15,3,21,48,cold
0,21,0,68,12,15,127,2,14,3,20,47,cold
0,15,0,51,11,9,97,2,8,2,14,37,cold
0,22,0,66,13,12,125,2,10,4,21,46,cold
