@relation training_10.arff

@attribute INVOCATIONS numeric
@attribute ASSIGNMENTS numeric
@attribute STATEMENTS numeric
@attribute EQUAL numeric
@attribute GOTO numeric
@attribute IF numeric
@attribute FIELDS numeric
@attribute FIELDS_WRITTEN numeric
@attribute LOCALS numeric
@attribute DEREFERNCES numeric
@attribute NEW numeric
@attribute THROWS numeric
@attribute class {hot,cold}

@data
7,16,24,0,1,1,11,11,30,14,1,0,?
7,15,23,0,1,1,10,10,29,13,1,0,?
0,1,3,0,0,0,1,1,2,2,0,0,?
4,3,10,2,2,2,2,0,10,3,0,0,?
3,3,9,2,2,2,2,0,9,3,0,0,?
3,3,9,2,2,2,2,0,10,3,0,0,?
2,3,8,2,2,2,2,0,9,3,0,0,?
10,15,23,2,2,2,1,0,41,6,2,0,?
7,13,20,2,2,2,1,0,34,6,2,0,?
4,10,16,1,1,1,1,0,26,6,2,0,?
6,8,12,0,0,0,1,0,21,2,2,1,?
1,4,6,0,0,0,1,0,10,2,1,0,?
1,2,5,0,0,0,0,0,7,1,1,1,?
1,2,6,0,1,0,1,0,6,2,1,0,?
1,2,5,0,0,0,0,0,7,1,1,1,?
1,2,6,0,1,0,1,0,6,2,1,0,?
1,2,5,0,0,0,0,0,7,1,1,1,?
1,2,6,0,1,0,1,0,6,2,1,0,?
1,2,5,0,0,0,0,0,7,1,1,1,?
1,2,6,0,1,0,1,0,6,2,1,0,?
1,2,5,0,0,0,0,0,7,1,1,1,?
18,23,32,0,3,2,0,0,58,2,3,0,?
12,15,20,0,1,1,0,0,36,1,2,0,?
3,4,8,1,2,1,0,0,10,1,0,0,?
4,6,11,2,3,2,0,0,14,1,0,0,?
6,8,14,3,4,3,0,0,19,1,0,0,?
12,13,20,3,3,3,0,0,32,1,2,1,?
1,0,5,0,1,0,0,0,3,2,0,0,?
0,1,3,0,0,0,0,0,3,1,0,0,?
1,7,13,0,2,1,6,1,13,6,0,0,?
0,4,9,0,2,1,3,0,9,3,0,0,?
0,1,4,0,0,0,0,0,5,1,0,1,?
1,0,3,0,0,0,0,0,1,1,0,0,?
1,4,6,0,0,0,3,3,3,3,1,0,?
1,0,8,0,0,0,0,0,12,6,0,0,?
6,6,16,0,3,3,2,0,22,6,0,0,?
4,5,14,0,3,3,2,0,20,6,0,0,?
3,4,13,0,3,3,2,0,15,6,0,0,?
1,3,11,0,3,3,2,0,13,6,0,0,?
3,3,11,0,2,2,1,0,12,5,0,0,?
1,2,9,0,2,2,1,0,10,5,0,0,?
0,0,1,0,0,0,0,0,0,0,0,0,?
1,0,2,0,0,0,0,0,0,0,0,0,?
1,0,3,0,0,0,0,0,1,1,0,0,?
1,0,3,0,0,0,0,0,1,1,0,0,?
1,0,5,0,0,0,0,0,6,3,0,0,?
3,10,14,0,0,0,8,8,15,9,0,0,?
3,15,21,0,0,0,12,12,27,15,0,0,?
2,8,13,0,0,0,8,8,13,10,0,0,?
2,13,20,0,0,0,12,12,25,16,0,0,?
2,27,34,0,4,3,5,4,60,8,1,0,?
2,14,19,0,2,2,4,4,26,6,1,0,?
2,26,33,0,4,3,5,4,58,8,1,0,?
2,13,18,0,2,2,4,4,24,6,1,0,?
1,2,4,0,0,0,0,0,5,0,1,0,?
2,1,5,0,0,0,1,0,4,2,0,0,?
14,32,42,1,4,3,15,8,63,18,3,0,?
13,28,35,1,2,2,14,8,53,16,2,0,?
13,25,31,1,1,1,13,7,48,15,1,0,?
1,16,20,1,2,1,6,0,39,7,0,0,?
0,15,18,1,1,1,5,0,36,6,0,0,?
1,2,4,0,0,0,1,1,3,1,1,0,?
