@relation training_50.arff

@attribute THROWS numeric
@attribute GOTO numeric
@attribute STATEMENTS numeric
@attribute INVOCATIONS numeric
@attribute ASSIGNMENTS numeric
@attribute LOCALS numeric
@attribute IF numeric
@attribute DEREFERNCES numeric
@attribute FIELDS_WRITTEN numeric
@attribute FIELDS numeric
@attribute NEW numeric
@attribute EQUAL numeric
@attribute class {hot,cold}

@data
0,11,88,3,71,175,10,46,7,37,0,2,?
0,10,76,3,61,147,9,37,7,28,0,2,?
0,11,80,3,64,157,10,39,6,30,0,2,?
0,10,68,1,54,135,9,37,5,30,0,2,?
0,9,56,1,44,107,8,28,5,21,0,2,?
0,10,60,1,47,117,9,30,4,23,0,2,?
0,8,62,2,50,122,7,33,6,26,0,2,?
0,9,66,2,53,132,8,35,5,28,0,2,?
0,9,58,0,46,114,8,30,4,23,0,2,?
0,10,75,3,60,145,9,39,8,32,0,2,?
0,11,79,3,63,155,10,41,7,34,0,2,?
0,11,71,1,56,137,10,36,6,29,0,2,?
0,7,57,1,46,114,7,27,3,20,0,1,?
0,10,77,2,62,152,9,41,7,34,0,2,?
0,9,65,2,52,124,8,32,7,25,0,2,?
0,10,69,2,55,134,9,34,6,27,0,2,?
0,12,87,3,69,171,11,45,7,37,0,2,?
0,11,75,3,59,143,10,36,7,28,0,2,?
0,12,79,3,62,153,11,38,6,30,0,2,?
0,10,81,4,65,158,9,41,8,33,0,2,?
0,11,85,4,68,168,10,43,7,35,0,2,?
0,11,77,2,61,150,10,38,6,30,0,2,?
0,9,61,2,48,118,8,32,6,26,0,2,?
0,10,65,2,51,128,9,34,5,28,0,2,?
0,10,57,0,44,110,9,29,4,23,0,2,?
0,6,43,0,34,87,6,20,1,14,0,1,?
0,9,63,1,50,125,8,34,5,28,0,2,?
0,8,51,1,40,97,7,25,5,19,0,2,?
0,9,55,1,43,107,8,27,4,21,0,2,?
0,2,16,0,11,25,2,9,2,7,0,0,?
0,4,20,2,12,27,3,10,4,9,0,0,?
0,4,21,2,13,31,3,11,4,10,0,0,?
0,2,19,2,13,30,2,11,4,10,0,0,?
