@relation training_10.arff

@attribute INVOCATIONS numeric
@attribute FIELDS numeric
@attribute NEW numeric
@attribute EQUAL numeric
@attribute LOCALS numeric
@attribute STATEMENTS numeric
@attribute DEREFERNCES numeric
@attribute THROWS numeric
@attribute IF numeric
@attribute ASSIGNMENTS numeric
@attribute GOTO numeric
@attribute FIELDS_WRITTEN numeric
@attribute class {hot,cold}

@data
5,5,0,2,26,18,7,0,4,11,4,2,cold
5,4,0,2,25,17,6,0,4,10,4,1,cold
4,3,0,2,21,14,5,0,3,8,3,1,cold
8,5,0,3,37,24,7,0,6,14,6,2,cold
8,4,0,3,36,23,6,0,6,13,6,1,cold
7,3,0,3,32,20,5,0,5,11,5,1,cold
7,5,0,3,35,23,7,0,6,14,6,2,cold
7,4,0,3,34,22,6,0,6,13,6,1,cold
6,3,0,3,30,19,5,0,5,11,5,1,cold
1,0,0,0,9,8,3,0,1,2,2,0,hot
2,0,0,0,10,7,3,0,1,2,1,0,hot
2,1,0,0,10,6,3,0,0,3,0,0,hot
1,4,0,0,29,18,9,0,2,11,3,0,cold
0,1,0,0,9,8,4,0,1,3,1,0,hot
34,1,4,2,103,56,3,0,6,33,8,0,cold
33,1,4,2,99,55,3,0,6,33,8,0,cold
30,1,4,1,86,48,3,0,4,29,5,0,cold
20,1,3,1,63,35,3,0,3,20,4,0,cold
17,1,3,0,50,28,3,0,1,16,1,0,cold
8,0,0,0,30,14,5,0,0,7,0,0,hot
1,2,0,0,10,7,5,0,0,2,0,0,hot
18,4,0,0,46,25,6,0,0,8,0,0,hot
1,1,0,0,9,7,4,0,1,2,1,0,hot
2,1,0,0,12,9,4,0,2,3,2,0,hot
11,1,1,1,43,26,4,0,5,14,6,0,cold
9,1,1,1,39,24,4,0,5,13,6,0,cold
5,1,1,0,24,16,4,0,3,8,3,0,cold
4,3,0,2,16,12,5,0,2,4,2,0,cold
3,2,0,2,12,10,4,0,2,3,2,0,cold
2,1,0,1,7,7,3,0,1,1,1,0,hot
8,1,1,2,22,17,3,0,2,6,3,0,cold
5,1,1,1,15,12,3,0,1,4,1,0,cold
22,0,4,0,52,33,2,0,1,19,2,0,cold
20,0,4,0,47,30,2,0,1,17,1,0,cold
2,0,0,0,9,6,3,0,0,2,0,0,hot
1,0,0,1,7,7,2,0,1,2,2,0,hot
1,0,0,1,7,6,2,0,1,2,1,0,hot
24,0,2,1,67,37,4,0,3,22,4,0,cold
12,0,1,1,36,24,4,0,3,12,4,0,cold
9,0,1,0,23,17,4,0,1,8,1,0,cold
15,0,0,2,56,33,3,0,6,20,8,0,cold
12,0,0,2,49,30,3,0,6,18,8,0,cold
8,0,0,1,33,21,3,0,4,12,5,0,cold
6,0,0,1,26,17,3,0,3,9,4,0,cold
2,0,0,0,10,8,3,0,1,3,1,0,hot
7,0,1,0,20,12,3,0,0,6,0,0,hot
6,0,1,0,18,12,4,0,0,5,0,0,hot
0,1,0,0,9,9,7,0,1,1,1,0,hot
80,2,7,0,183,101,8,0,1,28,2,0,cold
1,0,0,0,4,4,1,0,0,1,0,0,hot
14,0,0,2,49,27,3,0,4,16,6,0,cold
15,0,0,3,54,30,3,0,5,18,7,0,cold
15,0,0,3,56,29,3,0,5,18,6,0,cold
5,0,0,1,23,15,3,0,3,7,4,0,cold
2,0,0,0,10,8,3,0,1,3,1,0,hot
3,1,0,0,12,7,3,0,0,4,0,0,hot
0,2,0,0,6,4,3,0,0,2,0,0,hot
1,2,0,1,11,9,3,0,2,4,3,0,cold
1,2,0,1,11,8,3,0,2,4,2,0,cold
0,1,0,1,6,6,2,0,1,2,2,0,hot
3,1,0,0,8,7,3,0,0,1,0,0,hot
1,0,0,0,2,3,1,0,0,0,0,0,hot
4,5,0,0,8,10,5,0,0,9,0,5,hot
1,0,0,0,2,3,1,0,0,0,0,0,hot
0,0,0,0,0,1,0,0,0,0,0,0,hot
3,3,0,0,6,7,3,0,0,6,0,3,hot
9,3,1,0,43,25,7,0,2,16,3,2,cold
2,1,0,0,14,10,4,0,1,4,1,1,cold
0,1,0,0,2,2,1,0,0,1,0,0,hot
0,1,0,0,2,3,2,0,0,1,0,1,hot
0,1,0,0,0,2,1,0,0,1,0,1,hot
1,0,0,0,6,5,3,0,0,0,0,0,hot
0,0,0,0,0,1,0,0,0,0,0,0,hot
40,0,6,0,88,49,0,0,0,38,0,0,hot
2,0,0,0,7,5,1,0,0,3,0,0,hot
1,0,0,0,2,3,1,0,0,0,0,0,hot
1,1,0,0,9,7,5,0,0,1,0,1,hot
0,0,0,0,0,1,0,0,0,0,0,0,hot
7,7,1,1,21,18,8,0,1,12,1,3,cold
5,6,1,1,17,15,7,0,1,10,1,3,cold
3,1,0,0,4,5,1,0,0,2,0,0,hot
1,2,0,0,7,5,3,0,0,2,0,0,hot
1,4,0,0,12,8,6,0,0,4,0,1,hot
0,3,0,0,0,4,3,0,0,3,0,3,hot
0,0,0,0,0,1,0,0,0,0,0,0,hot
1,0,0,0,2,3,1,0,0,0,0,0,hot
1,4,0,0,22,13,9,0,0,8,0,2,hot
3,0,0,0,4,6,1,0,0,0,1,0,hot
2,0,0,0,6,5,1,0,0,2,0,0,hot
2,6,3,0,27,20,8,0,2,14,4,2,cold
0,4,2,0,12,10,4,0,1,7,2,2,cold
2,0,1,0,7,6,1,1,0,2,0,0,hot
0,1,0,0,0,2,1,0,0,1,0,1,hot
5,6,0,0,37,22,12,0,0,14,0,5,cold
0,1,0,0,6,6,2,0,1,2,2,0,hot
0,1,0,0,6,5,2,0,1,2,1,0,hot
2,3,1,0,13,10,5,0,1,4,1,1,cold
1,2,0,0,9,7,4,0,1,2,1,0,hot
1,0,0,0,2,3,1,0,0,0,0,0,hot
1,0,0,0,4,3,1,0,0,1,0,0,hot
0,0,0,0,3,3,1,0,0,1,0,0,hot
1,0,0,0,2,3,1,0,0,0,0,0,hot
0,1,1,0,5,4,2,0,0,2,0,0,hot
1,0,0,0,4,3,1,0,0,1,0,0,hot
1,0,0,0,2,3,1,0,0,0,0,0,hot
0,1,0,0,2,2,1,0,0,1,0,0,hot
0,1,0,0,2,3,2,0,0,1,0,1,hot
1,1,0,0,6,4,1,0,0,3,0,0,hot
1,1,0,0,4,4,2,0,0,1,0,0,hot
0,1,0,0,2,3,2,0,0,1,0,1,hot
0,1,0,0,2,2,1,0,0,1,0,0,hot
0,1,0,0,2,3,2,0,0,1,0,1,hot
0,1,0,0,2,2,1,0,0,1,0,0,hot
0,1,0,0,2,3,2,0,0,1,0,1,hot
0,1,0,0,2,2,1,0,0,1,0,0,hot
15,2,2,1,44,25,3,0,1,19,2,0,cold
13,2,2,1,39,23,3,0,1,17,2,0,cold
1,0,0,0,6,5,1,0,0,2,0,0,hot
0,1,0,0,2,3,2,0,0,1,0,1,hot
0,1,0,0,2,2,1,0,0,1,0,0,hot
0,1,0,0,2,2,1,0,0,1,0,0,hot
4,1,1,0,11,7,1,0,0,5,0,0,hot
0,1,0,0,2,2,1,0,0,1,0,0,hot
0,1,0,0,2,3,2,0,0,1,0,1,hot
1,2,0,0,2,4,2,0,0,2,0,1,hot
10,10,4,0,28,25,10,0,0,20,0,8,cold
0,0,0,0,0,1,0,0,0,0,0,0,hot
1,1,0,0,6,7,1,0,2,2,3,0,hot
0,1,0,0,2,3,1,0,1,1,1,0,hot
1,0,0,0,0,2,0,0,0,0,0,0,hot
1,0,0,0,1,3,1,0,0,0,0,0,hot
1,0,0,0,6,5,3,0,0,0,0,0,hot
1,0,0,0,0,2,0,0,0,0,0,0,hot
1,0,0,0,2,3,1,0,0,0,0,0,hot
1,0,0,0,2,3,1,0,0,0,0,0,hot
6,6,0,0,37,29,13,0,3,9,6,0,cold
6,6,0,0,38,28,13,0,3,9,5,0,cold
6,6,0,0,38,28,13,0,3,9,5,0,cold
6,6,0,0,39,27,13,0,3,9,4,0,cold
6,6,0,0,38,28,13,0,3,9,5,0,cold
6,6,0,0,39,27,13,0,3,9,4,0,cold
6,6,0,0,39,27,13,0,3,9,4,0,cold
6,6,0,0,40,26,13,0,3,9,3,0,cold
1,0,0,0,12,7,5,0,0,0,0,0,hot
1,0,0,0,8,5,3,0,0,0,0,0,hot
4,0,1,0,11,7,1,0,0,4,0,0,hot
110,12,8,0,70,131,12,0,0,41,0,10,cold
3,2,0,0,14,10,5,0,1,3,1,0,cold
1,1,0,0,8,7,4,0,1,2,1,0,hot
3,2,0,0,14,10,5,0,1,3,1,0,cold
1,1,0,0,8,7,4,0,1,2,1,0,hot
15,1,2,0,37,23,2,0,0,16,1,0,hot
3,0,0,0,9,7,1,0,0,3,1,0,hot
3,0,0,0,9,6,1,0,0,3,0,0,hot
7,11,1,0,30,24,14,0,1,16,1,11,cold
7,10,1,0,29,23,13,0,1,15,1,10,cold
0,1,0,0,2,3,2,0,0,1,0,1,hot
4,2,0,2,10,10,3,0,2,3,2,0,cold
3,2,0,2,9,9,3,0,2,3,2,0,cold
3,2,0,2,10,9,3,0,2,3,2,0,cold
2,2,0,2,9,8,3,0,2,3,2,0,hot
10,1,2,2,41,23,6,0,2,15,2,0,cold
7,1,2,2,34,20,6,0,2,13,2,0,cold
4,1,2,1,26,16,6,0,1,10,1,0,cold
6,1,2,0,21,12,2,1,0,8,0,0,hot
1,1,1,0,10,6,2,0,0,4,0,0,hot
1,0,1,0,7,5,1,1,0,2,0,0,hot
1,1,1,0,6,6,2,0,0,2,1,0,hot
1,0,1,0,7,5,1,1,0,2,0,0,hot
1,1,1,0,6,6,2,0,0,2,1,0,hot
1,0,1,0,7,5,1,1,0,2,0,0,hot
1,1,1,0,6,6,2,0,0,2,1,0,hot
1,0,1,0,7,5,1,1,0,2,0,0,hot
1,1,1,0,6,6,2,0,0,2,1,0,hot
1,0,1,0,7,5,1,1,0,2,0,0,hot
18,0,3,0,58,32,2,0,2,23,3,0,cold
12,0,2,0,36,20,1,0,1,15,1,0,cold
